filename,timestamp,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,roll,pitch,yaw,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,gps_latitude,gps_longitude,gps_altitude,laser_distance
00001.png,1763499047.797282,0.0429340133942282,-0.0320792854185321,0.7061039314851139,0.7060770693643621,0.0154141633102875,-0.1061317787120366,1.570015619137367,-0.0346304774284362,-0.0006336346268653,0.0209675878286361,1.1713422536849976,-0.0116740046069026,9.808374404907228,51.41850332298987,8.218954377377504,494.30224609375,0
00002.png,1763499048.049484,0.0399292982402662,-0.0346829005668279,0.7060266027926374,0.7062076066564271,0.0074642684010195,-0.1055649091049411,1.5701456393862545,-0.0525051355361938,0.0264504253864288,-0.0361932590603828,1.1241636276245115,-0.0125917019322514,9.778074264526367,51.41850275344853,8.218953284976568,494.30316162109375,0
00003.png,1763499048.301248,0.0356644465088672,-0.0287380668711456,0.7055868487992439,0.7071416898820763,0.0099265535988829,-0.0910984501616005,1.5681426754480243,0.0433126091957092,0.0387041866779327,-0.0734713673591613,1.0712336301803589,-0.1211557388305664,9.79585075378418,51.41850252669114,8.218952832249462,494.3097534179688,0
00004.png,1763499049.297239,0.0259801435597352,-0.0200476599242166,0.7053593705644359,0.708089882591978,0.0085291072466843,-0.0650877123832736,1.5666550466210705,0.0416222885251045,0.1264921426773071,-0.0095805004239082,1.1253925561904907,-0.0538801401853561,9.826056480407717,51.418501619062674,8.218951149779052,494.3046569824219,0
00005.png,1763499049.80124,0.0067889180660636,0.0040125652057381,0.7047232825091332,0.7094384434195221,0.0152888455930498,-0.0038752909208155,1.5640982375955637,-0.0261180698871612,0.1342027187347412,-0.017041228711605,1.296945571899414,0.036382257938385,9.749494552612305,51.41850174088477,8.218950751246151,494.3235473632813,3252
00006.png,1763499050.057382,-0.0152960383455885,0.0290976410416876,0.7044687014897749,0.7089733472550641,0.0193471934334096,0.0628514366739021,1.565030558579937,0.0851031839847564,0.3464479446411133,0.1089683026075363,1.1833717823028564,0.1024094745516777,9.704651832580566,51.41850290767153,8.218950408267059,494.3448486328125,0
00007.png,1763499050.557445,0.0249965460662334,-0.0024498316323398,0.7077157128049623,0.7060507353290527,0.0318595163797914,-0.0388500798707067,1.5725327015342023,-0.0097649693489074,-0.4411633014678955,-0.1119644865393638,1.3407807350158691,0.1551338136196136,9.571807861328123,51.41850606076501,8.21895017482943,494.3571166992188,0
00008.png,1763499050.801444,0.0234295376411734,-0.0048234121590244,0.7072475384091892,0.7065611869294884,0.0263101553139369,-0.0399676772653412,1.5712413740062832,-0.0654749274253845,0.1333407759666443,-0.0098377354443073,0.8602194786071777,0.0137445470318198,9.834356307983398,51.41850842753975,8.218950222243413,494.2994384765625,0
00009.png,1763499051.061302,0.0044512992990849,-0.0021291764997128,0.7067977921680914,0.7073984262975813,0.0032880380020925,-0.0093048235117783,1.5699315940657452,-0.0994969010353088,0.0171438604593276,0.0576294064521789,0.6323333978652954,-0.160158172249794,9.80478572845459,51.418513767671314,8.21895059548684,494.3077697753906,0
00010.png,1763499051.301275,0.0028148892241606,-0.0144091316099123,0.7052712978792028,0.7087854750999689,-0.0163399790089825,-0.0243989082744806,1.5660253420432722,-0.0288213118910789,-0.1554427742958068,-0.0358743891119957,0.8292210698127747,-0.2859323620796203,9.659903526306152,51.4185167222581,8.218951007582776,494.310302734375,0
00011.png,1763499051.809229,0.0012443251899632,-0.0188526183630934,0.7067064361745631,0.7072545818198178,-0.0248990573990307,-0.0284297762574091,1.5703749728131584,-0.0398672670125961,0.078646183013916,-0.0713980868458747,0.8165140151977539,-0.2680508196353912,9.769719123840332,51.41852656079752,8.218952271767588,494.3015441894531,0
00012.png,1763499052.30152,0.0035411240635458,-0.0188224669756612,0.7086534336283122,0.705296736263624,-0.0216946397543759,-0.0315749548322917,1.5758868346324522,-0.0027599725872278,-0.066971480846405,0.0835635587573051,0.6995311975479126,-0.2049459964036941,9.85271167755127,51.41853379650459,8.218952908170293,494.2981872558594,0
00013.png,1763499052.553283,0.0082437443475948,-0.0269952721560885,0.7088734268162553,0.704770714994692,-0.0266887606348473,-0.0497590281548138,1.57726493814209,0.0058763530105352,-0.0968886613845825,-0.010533295571804,0.6942554116249084,-0.1912976056337356,9.850375175476074,51.41853764414017,8.218953111168554,494.2925720214844,3262
00014.png,1763499052.797428,0.0170557210135929,-0.0342102717756933,0.7085697268345643,0.7046046422635396,-0.0245123861118653,-0.0724431147837276,1.577296221688434,0.017922356724739,-0.0268796011805534,0.0393799766898155,0.714806079864502,-0.2543691396713257,9.694409370422363,51.418541621715775,8.218953307876314,494.2905883789063,3257
00015.png,1763499053.057293,0.0191177442029079,-0.0284965006081289,0.7106180187595547,0.7027407009160123,-0.0136619465698816,-0.0672728592552838,1.5824028786797455,-0.0274937823414802,0.036593347787857,-0.0126492232084274,0.584662914276123,-0.1302576512098312,9.729381561279297,51.4185495646756,8.218953472490403,494.2847595214844,3267
