kp_uav,kp_patch,raw_matches,good_matches,good_ratio,homography_inliers,homography_ratio,num_3d2d_corr,pnp_inliers_anchor,pnp_ratio_anchor,anchor_easting_est,anchor_northing_est,anchor_altitude_est,anchor_easting_delta,anchor_northing_delta,anchor_altitude_delta,anchor_yaw_est,anchor_pitch_est,anchor_roll_est,anchor_yaw_delta,anchor_pitch_delta,anchor_roll_delta,anchor_reproj_mean,anchor_reproj_std,pnp_inliers_prior,pnp_ratio_prior,prior_easting_est,prior_northing_est,prior_altitude_est,prior_easting_delta,prior_northing_delta,prior_altitude_delta,prior_yaw_est,prior_pitch_est,prior_roll_est,prior_yaw_delta,prior_pitch_delta,prior_roll_delta,prior_reproj_mean,prior_reproj_std,gps_easting,gps_northing,gps_altitude,imu_yaw,imu_pitch,imu_roll,image_id,filename
4000,4000,4000,679,0.16975,381,0.561119293078056,679,403,0.593519882179676,445662.87805488135,5696629.317164263,479.6547399168063,-1.160896100627724,-1.683059829287231,-0.2527002687405684,-133.65848731850036,10.473898706592507,3.691364270455702,-1.345669247466958,-0.5543516359238936,4.524073219189603,1.6062896,0.7180849,403,0.593519882179676,445662.87805488345,5696629.317164259,479.65473991677493,-1.1608960985322483,-1.6830598330125213,-0.25270026877194596,-133.65848732206368,10.473898711311985,3.691364286548244,-1.345669251030273,-0.5543516312044403,4.524073235282145,1.6062896,0.7180849,445664.038950982,5696631.000224092,479.9074401855469,-132.3128180710334,11.028250342516413,-0.8327089487338988,214,frame_000214.png
4000,4000,4000,714,0.1785,425,0.5952380952380952,714,399,0.5588235294117647,445661.1493289022,5696627.92846437,479.6492856666785,-0.7177845488185994,-0.8019542023539543,-0.2747255637902981,-133.18514370126792,9.690487606373184,3.735142185214051,-1.1460380877799707,0.14866227365979512,5.774509289433269,1.6440618,0.7386173,399,0.5588235294117647,445661.1493289065,5696627.928464379,479.6492856682757,-0.7177845445112325,-0.8019541930407286,-0.2747255621931117,-133.18514369707557,9.690487568095357,3.735142172020472,-1.1460380835876265,0.14866223538194845,5.774509276239684,1.6440618,0.7386173,445661.867113451,5696628.730418572,479.9240112304688,-132.03910561348795,9.5418253327134,-2.0393671042192123,215,frame_000215.png
4000,4000,4000,715,0.17875,382,0.5342657342657343,715,370,0.5174825174825175,445659.9385368496,5696626.590747978,479.61825462639894,-0.8658224795944989,-1.0394659452140331,-0.3434152954760634,-133.31723917707785,8.949253941195694,4.701675934467477,-1.0852810112127713,-0.08177655935782013,7.373469232275767,1.7368857,0.7749915,370,0.5174825174825175,445659.9385368419,5696626.590747998,479.61825462744196,-0.8658224872779101,-1.0394659247249365,-0.3434152944330435,-133.31723915979111,8.949253902905573,4.701675854920366,-1.085280993926034,-0.08177659764794498,7.37346915272866,1.7368857,0.7749917,445660.80435932917,5696627.630213923,479.961669921875,-132.23195816586508,9.03103050055351,-2.6717932978082812,216,frame_000216.png
4000,4000,4000,712,0.178,417,0.5856741573033708,712,435,0.6109550561797753,445658.75243243255,5696625.2469086945,479.72131137912106,-1.0176588768954389,-1.3016330879181623,-0.2566549294726883,-133.11339476296902,4.5515348144983685,2.7884320403335674,-0.9828046196853393,-0.6023044329873812,3.504552459297628,1.6477104,0.728218,435,0.6109550561797753,445658.7524324299,5696625.246908704,479.7213113803711,-1.0176588795729913,-1.3016330786049366,-0.2566549282226447,-133.11339475728627,4.551534795699017,2.788432007140676,-0.982804614002589,-0.6023044517867504,3.5045524261047376,1.6477103,0.728218,445659.77009130944,5696626.548541782,479.97796630859375,-132.13059014328368,5.15383924748576,-0.716120418964055,217,frame_000217.png
4000,4000,4000,697,0.17425,445,0.6384505021520803,697,384,0.5509325681492109,445657.25330859015,5696624.038000197,479.6956855331038,-1.511247884191107,-1.4617108143866062,-0.26674732822431224,-133.20934842081417,0.527427100931843,2.332148895894798,-1.151465698411016,-0.1586869446059609,3.4198564109543668,1.6675301,0.7448273,384,0.5509325681492109,445657.2533085911,5696624.038000196,479.6956855331461,-1.5112478832597844,-1.4617108153179288,-0.26674732818202074,-133.20934842081897,0.5274271001853932,2.3321489004153735,-1.1514656984158194,-0.15868694535242867,3.419856415474925,1.6675301,0.7448273,445658.76455647434,5696625.499711012,479.9624328613281,-132.05788272240315,0.6861140455378161,-1.0877075150595585,218,frame_000218.png
4000,4000,4000,11,0.00275,10,0.9090909090909091,11,9,0.8181818181818182,445656.55819366715,5696622.625534291,479.94216224025837,-0.29757773358142003,-0.890427578240633,0.11693641018024437,-132.63070958986884,-30.273189441156575,4.510613411322281,-1.637982412625604,-0.8087858272144501,6.73079124802166,1.0932137,0.46451876,9,0.8181818181818182,445656.5581936735,5696622.625534276,479.9421622432878,-0.297577727236785,-0.8904275940731168,0.11693641320965753,-132.63070956687432,-30.273189410215927,4.510613479694235,-1.6379823896310768,-0.8087857962738099,6.730791316393635,1.0932137,0.46451876,445656.85577140073,5696623.51596187,479.8252258300781,-130.99272717724324,-29.464403613942117,-2.2201778366993925,219,frame_000219.png
4000,4000,4000,217,0.05425,140,0.6451612903225806,217,146,0.6728110599078341,445655.69799971994,5696622.451674495,479.7625977661287,-0.419088811671827,-0.24726016353815794,-0.08228138426193254,-133.9480768432335,-27.297452464714137,-0.9957325048059308,-1.4119001722218059,-3.409144801825221,-2.6958714834811133,1.5379164,0.7237202,146,0.6728110599078341,445655.69799971965,5696622.451674494,479.7625977662459,-0.4190888119628653,-0.24726016446948051,-0.08228138414472141,-133.94807684327017,-27.297452462821617,-0.9957325047100521,-1.4119001722584699,-3.4091447999327045,-2.695871483385247,1.5379164,0.7237202,445656.1170885316,5696622.698934658,479.8448791503906,-132.5361766710117,-23.88830766288892,1.7001389786751886,220,frame_000220.png
4000,4000,4000,740,0.185,470,0.6351351351351351,740,440,0.5945945945945946,445654.38821793464,5696620.453525791,479.8219216449438,-0.03208347433246672,-0.4505912931635976,-0.11548680232181141,-133.6673915622879,-6.845988021634002,2.02539830999667,-1.0966918442029225,-1.393049072586507,1.7954499714774954,1.5075853,0.68055713,440,0.5945945945945946,445654.3882179323,5696620.453525826,479.82192164346947,-0.03208347666077316,-0.45059125777333975,-0.11548680379615917,-133.6673915651483,-6.845988115857014,2.02539820606336,-1.0966918470633402,-1.3930491668095044,1.7954498675441926,1.5075853,0.68055713,445654.420301409,5696620.904117084,479.9374084472656,-132.57069971808497,-5.452938949047501,0.22994833851917465,221,frame_000221.png
4000,4000,4000,897,0.22425,564,0.6287625418060201,897,519,0.5785953177257525,445654.54326866387,5696620.437488672,479.74185024067265,0.18165632587624714,-0.4340832522138953,-0.15384067729615936,-132.86164853608955,-2.0117592603081897,2.5531995141076287,-0.9811677186459349,-1.8651934771631034,2.1211918478596203,1.5684575,0.7096951,519,0.5785953177257525,445654.54326866573,5696620.43748867,479.7418502407339,0.1816563277388923,-0.43408325407654047,-0.15384067723488215,-132.86164853599482,-2.011759261524859,2.5531995231375504,-0.9811677185512053,-1.86519347837978,2.1211918568895385,1.5684575,0.7096951,445654.361612338,5696620.871571925,479.8956909179688,-131.8804808174436,-0.14656578314508253,0.43200766624801845,222,frame_000222.png
4000,4000,4000,932,0.233,598,0.6416309012875536,932,559,0.5997854077253219,445654.4444971905,5696620.906669715,479.73440328500624,-0.023064631619490683,-0.07258457876741886,-0.18234476186876236,-133.20352882412502,2.4736418418170154,1.1555994366661675,-1.0208018876964502,-1.4486065695707282,0.6771023033780068,1.5543818,0.7399373,559,0.5997854077253219,445654.4444971929,5696620.9066697145,479.73440328518353,-0.023064629174768925,-0.07258457969874144,-0.18234476169146774,-133.2035288247577,2.4736418368411375,1.1555994450711913,-1.0208018883291459,-1.4486065745466021,0.6771023117830168,1.5543818,0.7399373,445654.4675618221,5696620.979254294,479.916748046875,-132.18272693642857,3.9222484113877503,0.4784971332881627,223,frame_000223.png
