kp_uav,kp_patch,raw_matches,good_matches,good_ratio,homography_inliers,homography_ratio,num_3d2d_corr,pnp_inliers_anchor,pnp_ratio_anchor,anchor_easting_est,anchor_northing_est,anchor_altitude_est,anchor_easting_delta,anchor_northing_delta,anchor_altitude_delta,anchor_yaw_est,anchor_pitch_est,anchor_roll_est,anchor_yaw_delta,anchor_pitch_delta,anchor_roll_delta,pnp_inliers_prior,pnp_ratio_prior,prior_easting_est,prior_northing_est,prior_altitude_est,prior_easting_delta,prior_northing_delta,prior_altitude_delta,prior_yaw_est,prior_pitch_est,prior_roll_est,prior_yaw_delta,prior_pitch_delta,prior_roll_delta,gps_easting,gps_northing,gps_altitude,imu_yaw,imu_pitch,imu_roll,image_id,filename
8000,8001,33,18,0.5454545454545454,18,1.0,18,11,0.6111111111111112,445658.4954564725,5696632.624101143,476.4433176314549,-5.54349450947484,1.6238770512863994,-3.4641225540920004,-136.53643544966968,-1.368826140937086,-31.847775412637592,-4.223617378636277,-12.397076483453503,-31.01506646390368,11,0.6111111111111112,-291688459.50484174,-36548529020.215416,-81839667981.07947,-292134123.5437927,-36554225651.21564,-81839668460.98691,-89.5528625457243,-10.779511140560261,161.48250363069826,42.759955525309124,-21.80776148307666,162.31521257943217,445664.038950982,5696631.000224092,479.9074401855469,-132.3128180710334,11.028250342516413,-0.8327089487338988,214,frame_000214.png
8000,8000,16,8,0.5,8,1.0,8,8,1.0,445659.06800472806,5696627.720255399,477.0853045134704,-2.7991087229456753,-1.0101631730794907,-2.838706716998388,-134.72624159562878,-0.6055306256925603,-12.408037704214474,-2.6871359821408305,-10.147355958405967,-10.368670599995255,8,1.0,-11547736.194464179,4264057.954133523,4374943.844626,-11993398.06157763,-1432570.7762850495,4374463.92061477,-25.54463925892544,18.415642014846643,-92.88142349351389,106.49446635456252,8.873816682133253,-90.84205638929468,445661.867113451,5696628.730418572,479.9240112304688,-132.03910561348795,9.5418253327134,-2.0393671042192123,215,frame_000215.png
8000,8000,25,9,0.36,9,1.0,9,7,0.7777777777777778,445660.10702266387,5696629.025994065,477.2711624393076,-0.6973366652964614,1.3957801423966885,-2.690507482567398,-133.17395099005438,-16.73753034828927,-12.752185957578815,-0.941992824189299,-25.76856084884278,-10.080392659770524,7,0.7777777777777778,519406.8700035813,8779816.237169925,-880410.1551555865,73746.06564425211,3083188.6069560023,-880890.1168255084,-103.11753867489406,22.099698784718,-122.81838376140104,29.114419490971017,13.068668284164488,-120.14659046359276,445660.80435932917,5696627.630213923,479.961669921875,-132.23195816586508,9.03103050055351,-2.6717932978082812,216,frame_000216.png
8001,8000,19,13,0.6842105263157895,13,1.0,13,9,0.6923076923076923,445658.5538803968,5696625.284043137,476.8572234772291,-1.2162109126220457,-1.264498645439744,-3.1207428313646233,-132.72827717231053,-9.261983164049287,-6.599733211201894,-0.5976870290268437,-14.415822411535032,-5.883612792237841,9,0.6923076923076923,-2363486.778903721,1966091.9126863484,1727488.0141440816,-2809146.54899503,-3730534.635855434,1727008.036177773,-51.48581106047608,-26.048332916887016,-132.52219984527426,80.64477908280759,-31.20217216437277,-131.8060794263102,445659.77009130944,5696626.548541782,479.97796630859375,-132.13059014328368,5.15383924748576,-0.716120418964055,217,frame_000217.png
8000,8000,24,11,0.4583333333333333,11,1.0,11,11,1.0,445656.394233456,5696623.872182692,477.16852545196645,-2.370323018345516,-1.6275283191353083,-2.7939074093616796,-133.75504590340623,-8.00613181117522,-9.257119604330667,-1.6971631810030772,-8.692245856713043,-8.169412089271106,11,1.0,-1372921.362785125,6501960.394796841,-63126.83505951695,-1818580.1273415992,805334.8950858293,-63606.797492378275,-125.10769982974996,19.53518621510865,152.1299631247831,6.950182892653174,18.84907216957083,153.21767063984265,445658.76455647434,5696625.499711012,479.9624328613281,-132.05788272240315,0.6861140455378161,-1.0877075150595585,218,frame_000218.png
8000,8000,15,8,0.5333333333333333,8,1.0,8,7,0.875,445652.88507963007,5696619.318757375,476.8504159312666,-3.9706917706644163,-4.197204494848847,-2.974809898811543,-134.83752019860387,-10.169617003907716,-5.236308592518575,-3.84479302136063,19.294786610034407,-3.0161307558191766,7,0.875,176786.50294403196,1546933.7379937987,3383065.697997538,-268870.35282736877,-4149689.777968071,3382585.872771708,33.13588472272143,-84.0394995969576,-176.2128285419196,164.12861189996465,-54.57509598301547,-173.9926507052202,445656.85577140073,5696623.51596187,479.8252258300781,-130.99272717724324,-29.464403613942117,-2.2201778366993925,219,frame_000219.png
8000,8000,37,18,0.4864864864864865,18,1.0,18,15,0.8333333333333334,445653.26321059186,5696619.141732199,476.99405102579453,-2.853877939749509,-3.5572024593129754,-2.8508281245960916,-134.01198228471722,-12.943929776455542,-5.449444017640603,-1.4758056137055178,10.944377886433386,-7.149582996315786,15,0.8333333333333334,-2530878.869654795,3431028.457020744,-1569710.0408233518,-2976534.9867433268,-2265594.241913914,-1570189.8857025022,-110.84661587023767,-32.803291520291225,90.05669413264678,21.689560800774018,-8.91498385740232,88.35655515397161,445656.1170885316,5696622.698934658,479.8448791503906,-132.5361766710117,-23.88830766288892,1.7001389786751886,220,frame_000220.png
8000,8000,38,27,0.7105263157894737,27,1.0,27,25,0.9259259259259259,445652.88674943463,5696619.628809796,477.3995788394856,-1.5335519743384793,-1.2753072883933783,-2.5378296077799973,-133.89953298042676,-12.305545340718794,-8.398741944594247,-1.3288332623417887,-6.852606391671287,-8.628690283113428,25,0.9259259259259259,-676278264653.6661,-179313770984.4409,198759456177.101,-676278710308.0864,-179319467605.345,198759455697.1636,-61.74879307543067,21.949753389669315,74.80271272491,70.82190664265431,27.402692338716804,74.57276438639082,445654.420301409,5696620.904117084,479.9374084472656,-132.57069971808497,-5.452938949047501,0.22994833851917465,221,frame_000221.png
8000,8000,28,21,0.75,21,1.0,21,18,0.8571428571428571,445653.0276241074,5696620.105863239,477.39617917793964,-1.3339882306172512,-0.7657086858525872,-2.4995117400291633,-132.98831384543323,-11.142192591994935,-9.652587721662675,-1.1078330279896136,-10.995626808849863,-10.084595387910696,18,0.8571428571428571,882548269.4617138,-104789136.1853337,-313568779.43277895,882102615.1001015,-110485757.05690563,-313569259.3284699,142.8368104296142,-3.34615602228459,-151.49582266907393,-85.2827087529422,-3.1995902391394964,-151.92783033532194,445654.361612338,5696620.871571925,479.8956909179688,-131.8804808174436,-0.14656578314508253,0.43200766624801845,222,frame_000222.png
8000,8000,40,30,0.75,30,1.0,30,28,0.9333333333333333,445653.30350721953,5696620.336404778,477.2129691726799,-1.1640546025591902,-0.6428495161235332,-2.703778874195109,-133.23143130919783,-9.00329126152642,-9.101829417611297,-1.048704372769265,-12.92553967291417,-9.580326550899457,28,0.9333333333333333,-379137108.3315019,-185299867.0282077,88564267.82623118,-379582762.79906374,-190996488.007462,88563787.90948313,-91.32470550452433,-0.5624289447490017,159.29036007555464,40.858021431904234,-4.484677356136757,158.8118629422665,445654.4675618221,5696620.979254294,479.916748046875,-132.18272693642857,3.9222484113877503,0.4784971332881627,223,frame_000223.png
